schema_version,fuel_id,airport_id,fuel_type,availability_raw,grade_or_detail,price_raw_text,other_fuels_raw,source,source_checked_at,data_checked_at
1.2,EBSP:AVGAS,EBSP,AVGAS,Ja,AVGAS 100LL,,,https://www.aerodromedespa.be/infos-pilote/,2026-08-03,2026-08-03
1.2,EBSP:JET_A1,EBSP,JET_A1,Ja,Jet A1,,,https://www.aerodromedespa.be/infos-pilote/,2026-08-03,2026-08-03
1.2,EBSP:MOGAS_SUPER,EBSP,MOGAS_SUPER,Nein,Nicht bestätigt,,,https://www.aerodromedespa.be/infos-pilote/,2026-08-03,2026-08-03
1.2,EBSP:UL91,EBSP,UL91,Nein,Nicht bestätigt,,,https://www.aerodromedespa.be/infos-pilote/,2026-08-03,2026-08-03
1.2,EDAH:AVGAS,EDAH,AVGAS,Ja,Ja,,,https://www.stic.de/broschuere-flugplatz/index.html,2026-08-02,2026-08-02
1.2,EDAH:JET_A1,EDAH,JET_A1,Ja,Ja,,,https://www.stic.de/broschuere-flugplatz/index.html,2026-08-02,2026-08-02
1.2,EDAH:MOGAS_SUPER,EDAH,MOGAS_SUPER,Nein,Nein,,,https://www.stic.de/broschuere-flugplatz/index.html,2026-08-02,2026-08-02
1.2,EDAH:UL91,EDAH,UL91,Prüfen,Prüfen,,,https://www.stic.de/broschuere-flugplatz/index.html,2026-08-02,2026-08-02
1.2,EDAY:AVGAS,EDAY,AVGAS,Ja – AVGAS,Ja – AVGAS,Aktuelle Preise auf Betreiberseite,Jet A1,https://www.flugplatz-strausberg.de/entgelte-und-treibstoff/,2026-08-03 · mittel bis hoch,2026-08-03 · mittel bis hoch
1.2,EDAY:JET_A1,EDAY,JET_A1,Jet A1,Jet A1,Aktuelle Preise auf Betreiberseite,Jet A1,https://www.flugplatz-strausberg.de/entgelte-und-treibstoff/,2026-08-03 · mittel bis hoch,2026-08-03 · mittel bis hoch
